CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
0292088,504,22,111,167
0292089,505,6,13,7
0292090,506,7,45,70
0292091,507,11,52,169
0292092,508,3,5,26
0292093,509,5,22,34
0292094,510,2,2,16
0292095,511,20,59,154
0292096,512,7,34,90
0292097,513,15,59,110
0292098,514,8,17,46
0292099,515,8,24,80
0292100,516,7,35,52
0292101,517,0,2,0
0292102,518,16,72,135
0292103,519,0,10,9
0292104,520,1,9,20
0292105,521,1,17,26
0292106,522,2,11,15
0292107,523,5,32,58
0292108,524,3,25,88
0292109,525,0,0,0
0292110,526,3,12,33
0292111,527,11,41,59
0292112,528,15,39,98
0292113,529,0,0,2
0292114,530,11,40,106
0292115,531,9,42,96
0292116,532,0,0,0
0292117,533,4,22,24
0292118,534,0,3,0
0292119,535,4,7,37
0292120,536,1,17,32
0292121,537,3,13,22
0292122,538,1,33,59
0292123,539,5,22,72
0292124,540,8,31,76
0292125,541,4,14,46
0292126,542,8,34,50
0292127,543,15,70,133
0292128,544,9,52,50
0292129,545,0,1,0
0292130,546,17,47,100
0292131,547,2,8,14
0292132,548,0,0,0
0292133,549,4,7,24
0292134,550,5,16,60
0292135,551,2,11,34
0292136,552,16,68,144
0292137,553,7,26,93
0292138,554,4,24,77
0292139,555,6,29,76
0292140,556,9,33,61
0292141,557,3,40,77
0292142,558,2,9,27
0292143,559,12,50,114
0292144,560,16,60,138
0292145,561,1,8,24
0292146,562,0,2,2
0292147,563,3,8,14
0292148,564,22,59,256
0292149,565,8,36,99
0292150,566,0,0,1
0292151,567,0,0,0
0292152,568,3,22,42
0292153,569,2,4,7
0292154,570,14,49,134
0292155,571,0,0,0
0292156,572,1,13,62
0292157,573,0,0,0
0292158,574,0,0,0
0292159,575,2,5,12
0292160,576,0,0,0
0292161,577,1,1,18
0292162,578,2,3,39
0292163,579,15,59,142
0292164,580,11,33,128
0292165,581,19,70,145
0292166,582,12,42,126
0292167,583,0,0,8
0292168,584,7,33,116
0292169,585,14,49,143
0292170,586,17,63,178
0292171,587,8,39,78
0292172,588,5,10,27
0292173,589,8,41,97
0292174,590,7,61,183
0292175,591,6,26,80
0292176,592,7,21,62
0292177,593,0,0,0
0292178,594,9,57,190
0292179,595,0,2,6
0292180,596,9,47,62
0292180,597,0,1,2
0292181,598,1,7,15
0292181,599,1,2,2
0292181,600,0,1,3
0292181,601,1,3,5
0292181,602,0,0,2
0292181,603,0,0,2
0292181,604,0,0,0
0292182,605,1,2,2
0292182,606,0,3,3
0292182,607,1,4,9
0293001,608,15,42,125
0293002,609,7,27,99
0293003,610,4,11,61
0293004,611,0,0,0
0293005,612,4,24,55
0293006,613,3,28,115
0293007,614,13,44,116
0293008,615,0,2,4
0293009,616,0,0,0
0293010,617,1,10,25
0293011,618,7,21,139
0293012,619,4,6,27
0293013,620,15,42,171
0293014,621,10,14,40
0293015,622,13,50,129
0293016,623,0,0,0
0293017,624,6,15,103
0293018,625,9,17,222
0293019,626,0,0,0
0293020,627,6,25,290
0293021,628,6,14,106
0293022,629,5,18,198
0293023,630,1,1,3
0293024,631,0,0,0
0293025,632,12,18,158
0293026,633,3,9,136
0293027,634,12,26,118
0293028,635,15,35,86
0293029,636,7,21,94
0293030,637,15,28,165
0293031,638,2,0,2
0293032,639,0,1,2
0293033,640,12,20,84
0293034,641,5,14,117
0293035,642,8,20,62
0293036,643,18,73,174
0293037,644,0,1,5
0293038,645,3,16,148
0293039,646,11,31,134
0293040,647,12,36,121
0293041,648,6,15,56
0293042,649,10,24,98
0293043,650,8,31,83
0293044,651,4,14,115
0293045,652,9,21,93
0293046,653,6,15,162
0293047,654,14,15,228
0293048,655,10,16,183
0293049,656,11,24,213
0293050,657,9,13,85
0293051,658,1,6,27
0293052,659,4,15,54
0293053,660,12,14,150
0293054,661,1,0,14
0293055,662,3,20,78
0293056,663,7,38,100
0293057,664,2,6,42
0293058,665,8,48,180
0293059,666,6,25,73
0293060,667,13,29,127
0293061,668,13,47,108
0293062,669,1,0,0
0293063,670,5,46,198
0293064,671,3,7,38
0293065,672,15,41,126
0293066,673,8,38,174
0293067,674,9,27,145
0293068,675,9,55,137
0293069,676,13,54,320
0293070,677,16,34,287
0293071,678,19,57,195
0293072,679,18,55,122
0293073,680,5,26,106
0293074,681,16,58,223
0293075,682,16,30,224
0293076,683,5,16,77
0293077,684,20,44,211
0293078,685,14,46,201
0293079,686,13,33,291
0293080,687,2,17,92
0293081,688,17,39,145
0293082,689,8,50,120
0293083,690,8,27,105
0293084,691,21,55,145
0293085,692,3,31,78
0293086,693,9,23,172
0293087,694,6,36,59
0293088,695,25,34,138
0293089,696,17,38,119
0293090,697,17,48,154
0293091,698,3,9,31
0293092,699,13,36,126
0293093,700,16,32,147
0293094,701,13,54,149
0293095,702,2,28,117
0293096,703,6,48,154
0293097,704,0,0,0
0293098,705,4,25,93
0293099,706,17,49,144
0293100,707,14,53,129
0293101,708,14,42,143
0293102,709,15,31,211
0293103,710,5,13,21
0293104,711,8,43,214
0293105,712,21,69,138
0293106,713,10,18,106
0293107,714,3,10,37
0293108,715,5,27,101
0293109,716,18,66,150
0293110,717,24,50,134
0293111,718,0,0,0
0293112,719,6,30,95
0293113,720,1,18,64
0293114,721,11,24,113
0293115,722,5,23,188
0293116,723,5,20,61
0293117,724,20,58,220
0293118,725,4,20,77
0293119,726,7,31,133
0293120,727,26,58,134
0293121,728,11,37,130
0293122,729,13,35,128
0293123,730,3,8,16
0293124,731,13,47,99
0293125,732,11,42,113
0293126,733,8,26,85
0293127,734,8,21,99
0293128,735,1,0,11
0293129,736,23,63,207
0293130,737,4,13,97
0293131,738,0,0,0
0293132,739,7,23,58
0293133,740,0,0,0
0293134,741,11,44,144
0293135,742,7,19,88
0293136,743,4,16,75
0293137,744,12,35,96
0293138,745,0,1,1
0293139,746,5,16,52
0293139,747,0,1,3
0293139,748,1,2,4
0293140,749,0,0,2
0293141,750,0,0,0
0293142,751,1,4,4
0293143,752,5,43,94
0293144,753,0,0,6
0293145,754,13,24,156
0293146,755,25,65,230
0293147,756,0,2,6
0293148,757,2,24,34
0293149,758,2,53,116
0293150,759,0,0,4
0293151,760,9,38,155
0293152,761,2,13,49
0293153,762,13,35,94
0293154,763,10,19,128
0293155,764,14,27,125
0293156,765,0,0,1
0293157,766,21,57,193
0293158,767,0,0,4
0293159,768,7,44,96
0293160,769,11,15,52
0293161,770,20,42,142
0293162,771,8,23,92
0293163,772,16,41,125
0293164,773,10,26,88
0293165,774,18,62,164
0293166,775,2,11,65
0293167,776,0,0,1
0293168,777,3,3,13
0293169,778,2,3,10
0293170,779,0,0,0
0293171,780,0,0,0
0293172,781,0,10,24
0293173,782,8,62,160
0293174,783,15,55,187
0293175,784,2,15,60
0293176,785,0,0,7
0293177,786,0,0,0
0293178,787,0,0,0
0293179,788,0,0,0
0293180,789,3,26,66
0293181,790,8,43,103
0293182,791,7,18,71
0293183,792,0,0,1
0293184,793,0,1,7
0293185,794,1,3,22
0293186,795,0,0,1
0293187,796,0,0,0
0293188,797,0,0,0
0293189,798,3,22,52
0293190,799,5,4,16
0293191,800,1,1,6
0293192,801,0,0,0
0293193,802,1,4,10
0293194,803,10,12,103
0293195,804,2,24,69
0293196,805,0,0,0
0293197,806,0,0,0
0293198,807,1,12,20
0293199,808,9,38,116
0293200,809,0,0,0
0293201,810,15,50,106
0293202,811,1,14,39
0293203,812,1,5,19
0293204,813,0,0,0
0293205,814,0,0,0
0294001,815,9,29,181
0294002,816,4,21,42
0294003,817,12,32,34
0294004,818,4,13,41
0294005,819,10,38,134
0294006,820,4,11,44
0294007,821,0,3,12
0294008,822,2,11,73
0294009,823,2,24,31
0294010,824,17,34,60
0294011,825,10,22,35
0294012,826,4,15,23
0294013,827,6,28,44
0294014,828,3,23,14
0294015,829,14,53,148
0294016,830,14,87,126
0294017,831,8,55,234
0294018,832,1,21,224
0294019,833,13,55,76
0294020,834,5,22,39
0294021,835,9,28,48
0294022,836,1,2,4
0294023,837,13,74,110
0294024,838,22,85,110
0294025,839,10,27,62
0294026,840,27,108,136
0294027,841,13,72,83
0294028,842,19,93,191
0294029,843,19,80,94
0294030,844,3,11,8
0294031,845,8,61,59
0294032,846,8,64,84
0294033,847,26,83,148
0294034,848,26,49,62
0294035,849,0,1,8
0294036,850,70,103,138
0294037,851,20,47,41
0294038,852,9,42,323
0294039,853,36,33,43
0294040,854,32,28,45
0294041,855,54,57,72
0294042,856,1,1,1
0294043,857,21,52,73
0294044,858,7,31,54
0294045,859,21,56,138
0294046,860,14,28,179
0294047,861,23,69,103
0294048,862,7,56,103
0294049,863,22,37,76
0294050,864,12,21,91
0294051,865,13,36,79
0294052,866,18,45,106
0294053,867,13,26,64
0294054,868,25,64,107
0294055,869,6,26,41
0294056,870,23,55,108
0294057,871,12,35,91
0294058,872,10,32,63
0294059,873,13,51,78
0294060,874,13,45,69
0294061,875,13,44,50
0294062,876,6,24,16
0294063,877,7,21,32
0294064,878,26,69,77
0294065,879,13,40,39
0294066,880,31,54,109
0294067,881,6,24,32
0294068,882,6,1,6
0294069,883,12,11,34
0294070,884,46,111,150
0294071,885,2,4,26
0294072,886,13,32,62
0294073,887,11,24,31
0294074,888,8,39,26
0294075,889,2,26,42
0294076,890,22,47,79
0294077,891,23,63,88
0294078,892,2,9,17
0294079,893,5,22,43
0294080,894,13,37,60
0294081,895,1,3,3
0294082,896,18,30,47
0294083,897,2,10,17
0294084,898,7,9,14
0294085,899,0,0,0
0294086,900,3,5,8
0294087,901,17,45,61
0294088,902,43,89,92
0294089,903,19,41,92
0294090,904,20,30,57
0294091,905,2,26,67
0294092,906,11,17,71
0294093,907,17,58,91
0294094,908,11,45,94
0294095,909,10,50,83
0294096,910,12,41,84
0294097,911,1,17,43
0294098,912,11,27,66
0294099,913,9,30,45
0294100,914,6,14,29
0294101,915,4,13,15
0294102,916,4,8,27
0294103,917,0,0,0
0294104,918,7,23,64
0294105,919,3,16,27
0294106,920,5,9,9
0294107,921,18,44,52
0294108,922,26,47,118
0294109,923,4,11,14
0294110,924,2,23,122
0294111,925,6,2,2
0294112,926,6,8,76
0294113,927,14,13,17
0294114,928,0,1,0
0294115,929,0,6,11
0294116,930,0,5,1
0294117,931,0,14,33
0294118,932,0,0,0
0294119,933,7,11,40
0294120,934,3,6,4
0294121,935,2,3,5
0294122,936,2,3,22
0294123,937,1,4,15
0294124,938,10,64,75
0294125,939,1,0,1
0294126,940,11,15,29
0294127,941,0,2,0
0294128,942,0,0,17
0294129,943,1,4,3
0294130,944,2,5,11
0294131,945,2,7,10
0294132,946,32,50,63
0294133,947,0,0,0
0294134,948,0,0,0
0294135,949,0,0,0
0294136,950,1,0,3
0294137,951,0,0,0
0294138,952,0,0,0
0294139,953,0,0,0
0294140,954,0,0,0
0294141,955,5,7,7
0294142,956,11,17,14
0294143,957,20,30,50
0294144,958,2,7,17
0294145,959,0,0,2
0294146,960,0,0,0
0294147,961,1,2,29
0294148,962,0,3,9
0294149,963,1,11,17
0294150,964,15,34,57
0294151,965,4,3,9
0294152,966,17,48,60
0294153,967,0,2,0
0294154,968,3,18,20
0294155,969,9,77,346
0294156,970,10,19,25
0294157,971,6,53,188
0294158,972,6,6,15
0294159,973,0,0,0
0294160,974,11,31,52
0294161,975,5,12,19
0294162,976,15,39,66
0294163,977,25,53,75
0294164,978,11,36,87
0294165,979,1,2,1
0294166,980,1,4,4
0294167,981,0,0,0
0294168,982,11,39,46
0294169,983,5,4,20
0294170,984,1,4,14
0294171,985,7,21,49
0294172,986,9,21,42
0294173,987,6,27,77
0294174,988,1,28,49
0294175,989,0,0,0
0294176,990,4,23,61
0294177,991,0,2,0
0294178,992,0,0,1
0294179,993,16,61,145
0294180,994,0,0,0
0294181,995,0,0,0
0294182,996,0,0,0
0294183,997,0,1,15
0294184,998,0,2,0
0294185,999,0,0,0
0294186,1000,1,3,20
0294187,1001,0,0,0
0294188,1002,0,0,0
0294189,1003,11,23,23
0294190,1004,0,0,0
0294191,1005,0,0,0
0294192,1006,0,0,0
0294193,1007,1,0,3
0294194,1008,3,6,11
0294195,1009,0,0,0
0294196,1010,0,0,0
0294197,1011,0,0,0
0294198,1012,17,24,38
0294199,1013,4,15,36
0294200,1014,6,67,103
0294201,1015,0,0,0
0294202,1016,0,0,0
0294203,1017,0,2,36
0294204,1018,0,0,0
0294205,1019,2,3,5
0294206,1020,2,7,9
0294207,1021,0,0,0
0294208,1022,0,0,0
0294209,1023,1,1,1
0294210,1024,0,0,0
0294211,1025,0,0,11
0294212,1026,0,0,0
0294213,1027,0,0,0
0294214,1028,6,33,54
0294215,1029,1,6,4
0294216,1030,4,25,16
0294217,1031,0,1,10
0294218,1032,3,4,7
0294219,1033,0,0,0
0294220,1034,0,0,0
0294221,1035,0,0,0
0294222,1036,1,4,35
0294223,1037,0,0,0
0294224,1038,0,0,0
0294225,1039,1,10,17
0294226,1040,1,2,5
0294227,1041,0,0,0
0294228,1042,1,8,46
0294229,1043,14,47,47
0294230,1044,11,20,49
0310102,1045,7,9,95
0310201,1046,9,21,112
0310302,1047,13,13,84
0310303,1048,3,6,29
0310401,1049,8,10,122
0330002,1050,0,0,0
0330003,1051,1,0,0
0330004,1052,0,0,0
033001,1053,0,0,0
033001,1054,0,0,1
0350001,1055,5,2,13
0350002,1056,7,11,21
0350003,1057,3,2,20
0350004,1058,2,1,4
0350005,1059,19,8,33
0350006,1060,12,6,24
0350007,1061,3,1,15
0350008,1062,19,11,39
0350009,1063,7,8,16
0350010,1064,13,4,24
0350011,1065,5,1,22
0370007,1066,58,39,72
0370009,1067,24,22,33
0370010,1068,12,12,22
0370011,1069,5,4,7
0370012,1070,17,16,27
0370013,1071,0,0,0
0370014,1072,8,2,3
0370015,1073,5,3,4
0370016,1074,9,10,9
0370017,1075,9,9,9
0370018,1076,8,7,11
0370019,1077,4,4,8
037001,1078,8,9,13
037001,1079,24,20,30
0370020,1080,3,2,2
0370021,1081,3,2,3
0370022,1082,0,0,0
0370024,1083,5,1,2
0370025,1084,12,9,6
0370027,1085,3,0,2
0370028,1086,7,1,5
0370029,1087,0,0,0
037002,1088,23,20,25
037002,1089,7,4,9
037002,1090,14,8,17
037002,1091,2,2,2
0370030,1092,19,15,16
037003,1093,6,3,17
037003,1094,13,13,19
037004,1095,17,12,17
037004,1096,12,8,27
037004,1097,11,10,19
037004,1098,0,0,0
037005,1099,2,2,5
037005,1100,0,0,0
037005,1101,33,31,67
037006,1102,15,12,28
037006,1103,17,15,31
037008,1104,11,9,11
037008,1105,39,37,41
037008,1106,18,16,19
037009,1107,2,1,2
037011,1108,14,11,17
037012,1109,1,0,0
037014,1110,13,7,11
037016,1111,0,0,1
037018,1112,0,0,0
037020,1113,4,0,0
037022,1114,1,1,1
0390001,1115,30,52,53
0390002,1116,32,38,52
0390003,1117,23,35,73
0390004,1118,28,40,31
0390005,1119,9,21,13
0390006,1120,4,3,14
0390007,1121,22,49,22
0390008,1122,4,7,9
0390009,1123,17,5,11
0390010,1124,2,3,7
0390011,1125,17,32,41
0390012,1126,16,34,92
0390013,1127,47,90,103
0390014,1128,53,74,43
0390015,1129,9,13,10
0390016,1130,6,14,27
0390017,1131,27,60,38
0390018,1132,34,52,104
0390019,1133,11,41,20
0390020,1134,14,11,17
0390021,1135,29,30,29
0390022,1136,18,26,78
0390023,1137,13,40,83
0390024,1138,7,9,17
0390025,1139,2,13,23
0390026,1140,49,59,78
