CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
1132225,2361,338,41,40
1132226,2362,622,62,54
1132300,2363,80,11,6
1132301,2364,398,43,30
1132302,2365,52,3,6
1132303,2366,232,25,14
1132305,2367,111,8,10
1132306,2368,127,13,23
1132307,2369,61,8,11
1132308,2370,94,5,18
1132309,2371,47,3,8
1132310,2372,253,24,32
1132311,2373,21,1,4
1132312,2374,0,0,0
1132313,2375,0,0,0
1132315,2376,5,0,1
1132316,2377,233,20,31
1132400,2378,15,0,0
1132401,2379,373,42,41
1132402,2380,265,20,18
1132403,2381,0,0,0
1132404,2382,118,10,11
1132405,2383,396,36,36
1132406,2384,262,22,28
1132407,2385,304,29,32
1132408,2386,94,9,8
1132409,2387,95,9,11
1132410,2388,102,15,13
1132411,2389,17,2,1
1132412,2390,0,0,0
1132417,2391,20,3,0
1132500,2392,180,22,28
1132501,2393,174,22,42
1132502,2394,321,36,38
1132503,2395,460,51,64
1132504,2396,158,21,16
1132505,2397,196,19,18
1132506,2398,235,24,34
1132507,2399,284,39,35
1132508,2400,172,12,26
1132509,2401,397,51,43
1132510,2402,163,16,20
1132511,2403,213,27,27
1132512,2404,159,18,16
1132513,2405,250,26,24
1132514,2406,293,28,32
1132515,2407,60,9,11
1132517,2408,77,13,10
1132518,2409,213,27,28
1132519,2410,134,22,16
1132520,2411,176,38,46
1132521,2412,160,18,19
1132523,2413,67,8,16
1132601,2414,81,5,18
1132602,2415,150,14,20
1132603,2416,152,18,14
1132604,2417,157,19,21
1132605,2418,112,27,15
1132606,2419,88,8,21
1132607,2420,0,0,0
1132608,2421,315,42,40
1132609,2422,1,0,0
1132610,2423,0,0,0
1132611,2424,49,4,3
1132612,2425,6,0,0
1132613,2426,168,23,35
1132614,2427,2,2,0
1132800,2428,0,0,0
1132801,2429,374,60,56
1132802,2430,522,67,80
1132803,2431,219,25,26
1132804,2432,296,30,35
1132805,2433,437,57,64
1132806,2434,303,34,52
1132807,2435,254,44,42
1132808,2436,342,55,40
1132809,2437,236,27,33
1132810,2438,3,0,2
1132900,2439,388,43,38
1132901,2440,47,4,5
1132902,2441,91,9,10
1132903,2442,120,18,18
1132904,2443,0,0,0
1132905,2444,106,5,12
1132910,2445,5,1,0
1132911,2446,14,1,1
1132913,2447,2,0,0
113291,2448,0,0,0
1133000,2449,140,22,31
1133001,2450,6,1,0
1133002,2451,16,1,3
1133003,2452,28,3,9
1133004,2453,47,8,19
1133005,2454,25,2,6
1133006,2455,188,18,25
1133007,2456,92,10,7
1133008,2457,20,8,5
1133009,2458,0,0,0
1133010,2459,7,1,1
1133011,2460,43,7,8
1133012,2461,1,0,0
1133013,2462,28,3,2
1133014,2463,75,8,5
1133015,2464,11,1,0
1133016,2465,36,7,8
1133017,2466,5,0,1
1133018,2467,10,5,2
1133019,2468,3,0,0
1133020,2469,1,0,0
1133021,2470,1,0,2
1133022,2471,10,0,1
1133023,2472,5,0,3
1133024,2473,5,0,2
1133025,2474,1,0,0
1133026,2475,0,0,2
1133027,2476,5,2,0
1133028,2477,5,2,1
1133029,2478,0,0,0
1133030,2479,0,0,0
1133031,2480,21,2,1
1133032,2481,10,4,6
1133033,2482,2,0,1
1133034,2483,7,1,2
1133035,2484,10,1,2
1133036,2485,0,0,0
1133037,2486,3,2,0
1133038,2487,6,1,0
1133039,2488,11,2,5
1133040,2489,6,0,1
1133041,2490,0,0,0
1133042,2491,4,0,0
1133043,2492,4,1,3
1133044,2493,3,1,1
1133045,2494,0,1,0
1133046,2495,55,6,5
1133047,2496,59,3,5
1133048,2497,11,1,2
1133049,2498,7,2,1
1133050,2499,8,1,2
1133051,2500,2,1,1
1133052,2501,8,0,1
1133053,2502,17,3,3
1133054,2503,15,1,6
1133055,2504,29,4,4
1133056,2505,20,8,3
1133057,2506,28,1,4
1133058,2507,4,2,0
1133059,2508,3,1,1
1133060,2509,4,0,0
1133061,2510,2,1,1
1133062,2511,9,3,2
1133063,2512,25,1,5
1133064,2513,12,2,3
1133065,2514,10,0,2
1133066,2515,4,2,2
1133067,2516,6,0,1
1133068,2517,20,5,5
1133069,2518,10,2,1
1133070,2519,22,2,4
1133071,2520,7,1,3
1133072,2521,0,0,0
1133073,2522,0,0,0
1133074,2523,13,1,1
1133075,2524,4,0,4
1133076,2525,0,0,0
1133077,2526,102,9,13
1133078,2527,60,6,7
1133079,2528,14,2,0
1133080,2529,40,4,8
1133081,2530,96,12,24
1133082,2531,11,1,2
1133083,2532,42,4,2
1133084,2533,24,4,6
1133085,2534,13,3,2
1133086,2535,140,16,17
1133087,2536,0,0,0
1133088,2537,4,0,0
1133089,2538,17,0,3
1133090,2539,17,4,9
1133091,2540,0,0,0
1133092,2541,11,2,2
1133093,2542,0,1,0
1133094,2543,0,0,0
1133095,2544,82,14,20
1133096,2545,77,7,19
1133097,2546,2,0,0
1133098,2547,0,0,0
1133099,2548,2,0,0
113304,2549,0,0,0
113306,2550,0,0,0
113304,2551,0,0,0
113304,2552,0,0,0
113306,2553,0,0,0
1133100,2554,109,10,13
1133101,2555,44,2,3
1133102,2556,67,9,4
1133103,2557,82,6,11
1133104,2558,73,17,8
1133105,2559,138,9,6
1133106,2560,94,12,10
1133107,2561,46,4,6
1133108,2562,216,28,10
1133109,2563,337,36,30
1133110,2564,69,4,5
1133111,2565,0,0,0
1133112,2566,8,0,0
1133113,2567,0,0,0
1133114,2568,0,0,0
1133115,2569,63,5,7
1133116,2570,0,0,0
1133117,2571,1,1,0
1133119,2572,0,0,0
113314,2573,0,0,0
113315,2574,0,0,0
1133200,2575,193,19,20
1133201,2576,127,12,9
1133202,2577,92,5,8
1133203,2578,120,11,10
1133204,2579,156,14,10
1133205,2580,24,4,8
1133206,2581,252,19,17
1133207,2582,169,10,14
1133208,2583,94,2,4
1133209,2584,21,0,1
1133210,2585,150,9,12
1133211,2586,43,6,8
113320,2587,0,0,0
113321,2588,0,0,0
113321,2589,0,0,0
113320,2590,0,0,0
113321,2591,0,0,0
1133304,2592,194,14,15
1133305,2593,323,24,17
1133306,2594,79,5,7
1133307,2595,73,2,3
1133308,2596,91,7,8
1133309,2597,175,16,6
1133310,2598,174,13,12
1133311,2599,128,8,5
1133312,2600,177,16,23
1133313,2601,150,17,23
1133314,2602,162,14,15
1133315,2603,55,2,0
1133316,2604,172,10,17
1133317,2605,115,8,14
1133318,2606,69,5,4
1133319,2607,5,0,1
1133321,2608,0,0,0
1133325,2609,44,2,6
1133327,2610,0,0,0
1133328,2611,3,0,0
1133500,2612,521,47,47
1133501,2613,1,0,0
1133503,2614,202,11,4
1133504,2615,144,11,15
1133600,2616,53,9,7
1133601,2617,104,14,5
1133602,2618,12,4,3
1133603,2619,12,0,3
1133604,2620,103,10,9
1133605,2621,45,6,1
1133606,2622,40,7,3
1133607,2623,65,10,9
1133608,2624,38,3,6
1133609,2625,97,9,9
1133610,2626,17,6,0
1133611,2627,52,3,3
1133612,2628,99,5,9
1133613,2629,29,3,0
1133614,2630,11,2,2
1133615,2631,40,3,2
1133616,2632,14,0,0
1133617,2633,16,4,2
1133618,2634,13,0,2
1133619,2635,7,1,0
1133620,2636,34,2,7
1133621,2637,9,4,1
1133701,2638,4,0,0
1133702,2639,4,0,0
1133800,2640,42,13,7
1133801,2641,4,1,0
1133802,2642,50,2,9
1133803,2643,30,7,3
1133805,2644,44,6,6
1133806,2645,9,0,3
1133807,2646,61,7,6
1133808,2647,218,15,14
1133809,2648,9,1,1
1133900,2649,70,5,1
1133920,2650,221,11,5
1133921,2651,298,25,19
1133922,2652,2,0,1
1133940,2653,73,8,6
1133950,2654,67,5,10
1133951,2655,47,14,9
1133952,2656,6,1,0
1133960,2657,284,26,26
1133961,2658,236,25,15
1133962,2659,425,29,48
1133963,2660,201,12,8
1133964,2661,196,15,9
1133965,2662,279,26,19
1133966,2663,251,22,16
1133967,2664,118,13,13
1133968,2665,334,24,27
1133969,2666,447,42,17
1133970,2667,451,32,22
1133971,2668,240,20,21
1133980,2669,327,19,24
1133981,2670,221,25,8
1133982,2671,441,41,33
1133983,2672,284,16,15
1133984,2673,152,14,12
1134000,2674,8,0,0
1134001,2675,21,4,4
1134002,2676,62,6,16
1134003,2677,2,0,0
1134004,2678,76,4,4
1134005,2679,32,3,8
1134006,2680,75,6,20
1134007,2681,14,2,2
1134008,2682,5,1,0
1134009,2683,21,0,2
1134010,2684,98,11,15
1134011,2685,26,3,1
1134012,2686,7,0,0
1134013,2687,46,2,3
1134014,2688,301,39,39
1134015,2689,95,4,9
1134016,2690,59,8,15
1134017,2691,21,5,4
1134018,2692,86,16,13
1134019,2693,46,6,11
1134020,2694,18,2,2
1134021,2695,41,10,19
1134022,2696,23,3,3
1134023,2697,0,0,0
1134024,2698,14,1,1
1134025,2699,0,0,2
1134026,2700,3,1,1
1134027,2701,2,0,0
1134028,2702,5,2,2
1134029,2703,0,0,0
1134030,2704,0,0,0
1134031,2705,18,1,7
1134033,2706,31,5,3
1134035,2707,19,6,11
1134036,2708,13,0,3
1134037,2709,6,0,1
1134038,2710,10,3,7
1134039,2711,2,1,1
1134040,2712,3,1,0
1134041,2713,1,1,1
1134043,2714,7,1,2
1134044,2715,3,0,2
1134046,2716,7,1,2
1134047,2717,5,0,0
1134048,2718,0,0,0
1134049,2719,0,0,0
1134050,2720,173,19,27
1134051,2721,0,0,0
1134052,2722,146,8,18
1134053,2723,10,0,1
1134054,2724,6,0,1
1134055,2725,47,4,2
1134056,2726,38,6,9
1134057,2727,33,4,5
1134058,2728,20,2,7
1134059,2729,2,0,1
1134060,2730,28,6,4
1134061,2731,36,0,11
1134062,2732,26,0,5
1134063,2733,80,9,29
1134065,2734,13,1,4
1134066,2735,22,3,0
1134067,2736,53,4,8
1134068,2737,40,5,12
1134069,2738,46,9,21
1134070,2739,31,2,9
1134071,2740,4,0,0
1134072,2741,2,2,2
1134073,2742,48,9,14
1134074,2743,90,14,20
1134075,2744,12,4,10
1134076,2745,59,9,5
1134077,2746,25,1,4
1134078,2747,39,13,12
1134079,2748,221,40,47
1134080,2749,71,10,13
1134081,2750,59,7,15
1134082,2751,28,4,4
1134083,2752,13,3,2
1134084,2753,11,2,2
1134085,2754,15,3,1
1134086,2755,37,6,6
1134087,2756,9,0,3
1134088,2757,4,2,0
1134090,2758,4,1,0
1134091,2759,0,0,0
1134092,2760,4,0,2
1134093,2761,0,0,0
1134094,2762,33,3,6
1134095,2763,3,0,0
1134096,2764,2,0,0
1134097,2765,34,6,9
1134098,2766,2,0,0
1134099,2767,156,20,23
113402,2768,0,0,0
113403,2769,0,0,0
1134100,2770,1,1,0
1134101,2771,0,0,0
1134107,2772,0,0,0
1134108,2773,0,0,1
1134109,2774,0,0,0
1134110,2775,4,0,1
1134111,2776,10,0,1
1134112,2777,1,0,1
1134113,2778,39,5,13
1134114,2779,28,1,8
1134115,2780,20,8,7
1134116,2781,0,0,0
1134117,2782,0,1,0
1134118,2783,0,0,0
1134119,2784,0,0,0
1134120,2785,1,0,1
1134122,2786,0,0,0
1134125,2787,0,0,0
1134126,2788,262,36,35
1134127,2789,75,14,11
1134128,2790,193,38,37
1134129,2791,369,45,37
1134130,2792,249,30,37
1134131,2793,21,6,4
1134135,2794,22,4,8
1134141,2795,6,0,0
1134143,2796,1,1,0
1134145,2797,0,0,0
1134147,2798,2,0,0
1134149,2799,0,0,0
1134152,2800,0,0,0
1134153,2801,4,0,0
1134157,2802,5,1,0
1134161,2803,17,0,2
1134166,2804,0,0,0
113411,2805,0,0,0
1134300,2806,42,3,9
1134500,2807,149,15,7
1134501,2808,154,8,11
1134502,2809,183,17,18
1134503,2810,163,18,16
1134504,2811,83,2,6
1134505,2812,131,15,6
1134506,2813,76,7,3
1134507,2814,8,2,2
1134508,2815,21,2,0
1134509,2816,121,4,8
1134510,2817,81,8,11
1134511,2818,105,9,5
1134512,2819,74,6,1
1134513,2820,91,7,7
1134514,2821,110,10,7
1134515,2822,59,6,4
1134516,2823,0,0,0
1134517,2824,358,18,25
1134518,2825,77,8,9
1134519,2826,279,27,24
1134520,2827,31,1,7
1134521,2828,280,33,22
1134522,2829,214,19,19
1134523,2830,51,2,4
1134525,2831,59,2,4
1134527,2832,35,4,3
1134528,2833,0,0,0
1134529,2834,42,5,6
1134530,2835,2,1,0
1134531,2836,55,1,1
1134532,2837,15,3,0
1134533,2838,49,5,6
1134534,2839,6,1,1
1134535,2840,29,2,4
1134536,2841,2,0,0
1134537,2842,0,0,0
1134538,2843,28,1,3
1134539,2844,0,0,0
1134541,2845,0,0,0
1134542,2846,0,0,0
1134554,2847,1,0,0
1134555,2848,2,1,0
1134557,2849,0,0,0
1134558,2850,0,0,0
1134559,2851,0,0,0
1134600,2852,192,17,21
1134601,2853,320,26,23
1134602,2854,131,20,11
1134603,2855,2,0,0
1134604,2856,203,26,11
1134605,2857,173,14,13
1134606,2858,185,12,18
1134607,2859,66,6,7
1134608,2860,172,19,15
1134609,2861,36,4,3
1134610,2862,224,24,12
1134611,2863,105,7,14
1134612,2864,31,3,3
1134613,2865,25,1,7
1134614,2866,67,5,7
1134615,2867,13,0,2
1134616,2868,53,5,3
1134617,2869,17,1,1
1134618,2870,31,2,2
1134619,2871,153,14,17
1134620,2872,164,8,13
1134621,2873,103,11,15
1134622,2874,128,13,12
1134623,2875,129,13,7
1134624,2876,113,8,9
1134625,2877,213,20,16
1134626,2878,333,36,32
1134627,2879,247,31,31
1134628,2880,48,6,3
1134629,2881,61,7,5
1134630,2882,142,14,8
1134631,2883,118,10,6
1134632,2884,63,4,7
1134633,2885,35,2,5
1134634,2886,266,22,21
1134639,2887,17,2,1
1134640,2888,95,9,18
1134641,2889,28,4,2
1134642,2890,5,1,0
1134644,2891,0,0,0
1134646,2892,35,4,2
1134648,2893,61,3,2
1134649,2894,1,0,1
1134651,2895,0,0,0
1134652,2896,29,3,1
1134653,2897,3,0,0
1134654,2898,54,8,4
1134655,2899,8,1,0
1134656,2900,1,0,0
1134657,2901,1,0,0
1134658,2902,8,0,0
1134659,2903,12,3,2
1134660,2904,2,0,0
1134661,2905,24,1,7
1134662,2906,18,1,0
1134663,2907,0,0,0
1134664,2908,68,8,13
1134665,2909,0,0,0
1134667,2910,0,0,0
1134673,2911,0,0,0
1134674,2912,0,0,0
1134675,2913,8,0,0
1134677,2914,12,2,4
1134678,2915,2,2,0
1150001,2916,183,12,24
1150002,2917,189,22,42
1150003,2918,518,27,62
1150004,2919,460,19,29
1150005,2920,26,3,6
1150011,2921,46,0,1
1150012,2922,10,1,2
1150013,2923,26,0,0
1150017,2924,12,0,1
1170001,2925,315,25,25
1170002,2926,248,21,41
1170003,2927,757,57,64
1170004,2928,276,18,35
1190001,2929,365,21,20
1190003,2930,144,18,4
1190004,2931,174,12,10
1190005,2932,247,15,15
1190007,2933,109,9,6
1190009,2934,155,7,1
1190010,2935,166,14,8
1211000,2936,913,51,31
1211001,2937,436,14,9
1211002,2938,31,1,0
1211003,2939,440,27,15
1211004,2940,556,36,18
1211005,2941,1,0,0
1211006,2942,2,0,0
1211007,2943,335,24,24
1211008,2944,857,42,43
1211009,2945,51,2,0
1211010,2946,701,40,24
1211011,2947,431,26,16
1211012,2948,302,17,22
1211013,2949,279,19,17
1211014,2950,293,21,13
1211015,2951,178,13,18
1211016,2952,485,33,22
1211017,2953,321,18,20
1211018,2954,93,11,9
1211019,2955,329,42,28
1211020,2956,291,21,12
1211021,2957,376,39,20
1211022,2958,473,57,48
1211023,2959,410,38,25
1211024,2960,459,54,35
1211025,2961,139,18,7
1211026,2962,835,75,53
1211027,2963,48,5,7
1211028,2964,19,1,3
1211029,2965,0,0,0
1211030,2966,4,0,0
1211031,2967,314,26,20
1211032,2968,561,56,46
1211033,2969,421,32,26
1211034,2970,123,12,7
1211035,2971,216,26,16
1211036,2972,383,39,40
1211037,2973,123,18,14
1211038,2974,97,12,8
1211039,2975,62,7,4
1211040,2976,53,8,6
1211041,2977,407,42,24
1211042,2978,259,25,15
1211044,2979,383,30,32
1211045,2980,733,55,39
1211046,2981,161,12,13
1211047,2982,327,30,18
1211048,2983,345,28,20
1211049,2984,400,36,23
1211050,2985,52,2,5
1211051,2986,332,22,24
1211052,2987,201,13,11
1211053,2988,11,1,1
1211054,2989,266,21,13
1211055,2990,193,13,9
1211056,2991,198,16,14
1211057,2992,84,11,8
1211058,2993,294,24,26
1211059,2994,403,41,48
1211060,2995,199,21,21
1211061,2996,322,27,37
1211062,2997,241,21,26
1211063,2998,262,32,17
1211064,2999,411,49,45
1211065,3000,85,7,12
1211066,3001,28,0,1
1211172,3002,780,74,40
1211224,3003,182,12,6
1211225,3004,111,6,11
1212067,3005,212,13,6
1212068,3006,486,39,38
1212069,3007,313,30,22
1212070,3008,43,3,2
1212071,3009,804,70,74
1212072,3010,492,39,20
1212073,3011,624,49,37
1212074,3012,556,58,41
1212075,3013,123,5,3
1212076,3014,307,25,30
1212077,3015,232,22,9
1212078,3016,206,16,12
1212079,3017,814,58,52
1212080,3018,224,36,25
1212081,3019,295,32,29
1212082,3020,147,11,9
1212083,3021,214,22,18
1212084,3022,360,23,23
1212085,3023,483,49,28
1212086,3024,452,31,36
1212087,3025,421,29,33
1212088,3026,261,13,18
1212089,3027,561,47,27
1212090,3028,355,41,24
1212091,3029,851,77,53
1212092,3030,171,12,19
1212093,3031,61,8,6
1212094,3032,261,31,22
1212095,3033,430,52,52
1212096,3034,722,104,74
1212097,3035,471,45,45
1212098,3036,56,6,3
1212099,3037,675,62,63
1212100,3038,155,10,9
1212101,3039,85,8,8
1212102,3040,276,25,27
1212103,3041,203,18,12
1212104,3042,347,27,32
1212105,3043,295,25,23
1212106,3044,384,49,41
1212107,3045,582,49,34
1212108,3046,111,7,13
1212109,3047,271,23,29
1212110,3048,246,40,22
1212111,3049,469,64,50
1212112,3050,197,22,14
1212113,3051,524,41,44
1212114,3052,192,24,18
1213115,3053,183,20,11
1213116,3054,390,33,34
1213117,3055,51,8,5
1213118,3056,97,9,6
1213119,3057,19,0,1
1213120,3058,221,13,6
1213121,3059,256,24,18
1213122,3060,49,4,4
1213123,3061,260,19,19
1213124,3062,44,4,3
1213125,3063,56,4,2
1213126,3064,112,14,10
1213127,3065,105,13,10
1213128,3066,207,18,13
1213129,3067,264,30,22
1213130,3068,316,30,25
1213131,3069,397,50,14
1213132,3070,587,57,34
1213133,3071,496,39,21
1213134,3072,289,27,16
1213135,3073,384,33,26
1213136,3074,308,20,22
1213137,3075,300,27,23
1213138,3076,545,43,40
1213139,3077,665,59,56
1213140,3078,567,67,61
1213141,3079,835,71,67
1213142,3080,205,6,1
1213143,3081,228,21,14
1213144,3082,516,46,60
1213145,3083,602,66,44
1213146,3084,401,41,22
1213147,3085,699,71,39
1213148,3086,318,30,23
1213149,3087,446,27,31
1213150,3088,392,43,37
1213151,3089,667,65,43
1213152,3090,438,35,34
1213153,3091,671,50,49
1213154,3092,568,64,48
1213155,3093,737,75,55
1213156,3094,228,13,14
1213157,3095,119,7,1
1213158,3096,830,63,54
1213159,3097,573,50,28
1213160,3098,641,47,41
1214043,3099,134,23,15
1214161,3100,323,21,13
1214162,3101,106,9,5
1214162,3102,18,2,1
1214163,3103,219,26,21
1214164,3104,617,53,52
1214165,3105,138,20,14
1214166,3106,161,14,23
1214167,3107,172,16,21
1214168,3108,87,15,20
1214169,3109,241,20,29
1214170,3110,43,11,18
1214171,3111,28,10,5
1214173,3112,0,0,2
1214174,3113,10,1,4
1214175,3114,2,0,0
1214176,3115,485,64,55
1214177,3116,35,2,2
1214178,3117,151,17,26
1214179,3118,686,52,60
1214180,3119,269,28,23
1214181,3120,542,43,46
1214182,3121,26,1,1
1214183,3122,124,11,9
1214184,3123,888,55,31
1214185,3124,922,57,29
1214186,3125,1508,93,77
1214187,3126,57,4,5
1214188,3127,1,0,0
1214189,3128,107,3,5
1214190,3129,552,34,25
1214191,3130,426,28,18
1214192,3131,374,26,15
1214193,3132,846,58,17
1214194,3133,188,9,2
1214195,3134,223,14,8
1214196,3135,928,45,40
1214197,3136,344,18,7
1214198,3137,880,44,32
1214199,3138,25,4,1
1214200,3139,11,1,0
1214201,3140,451,34,22
1214202,3141,784,60,42
1214203,3142,676,50,44
1214204,3143,560,44,50
1214205,3144,748,52,49
1214205,3145,61,4,4
1214206,3146,709,57,43
1214207,3147,420,28,14
1214208,3148,407,26,25
1214209,3149,367,25,26
1214210,3150,511,38,24
1214211,3151,1048,75,58
1214212,3152,94,3,7
1214213,3153,190,15,12
1214214,3154,334,30,16
1214215,3155,480,41,27
1214216,3156,53,6,2
1214217,3157,407,40,17
1214218,3158,412,25,15
1214219,3159,813,48,27
1214220,3160,777,43,36
1214220,3161,11,0,0
1214220,3162,2,0,0
1214221,3163,45,2,1
1214222,3164,563,33,36
1214223,3165,334,18,9
1214226,3166,393,21,21
1219100,3167,0,0,0
1219101,3168,0,0,0
1219102,3169,0,0,0
1219200,3170,0,0,0
1219201,3171,0,0,0
1219202,3172,0,0,0
1219202,3173,0,0,0
1219203,3174,0,0,0
1219204,3175,0,0,0
1219300,3176,0,0,0
1219301,3177,0,0,0
1219302,3178,0,0,0
1219303,3179,0,0,0
1219304,3180,0,0,0
1230101,3181,458,43,21
1230102,3182,102,11,23
1230201,3183,155,3,2
1230202,3184,257,8,5
1230203,3185,244,16,5
1230301,3186,335,14,10
1230302,3187,274,11,10
1230303,3188,113,7,5
1230401,3189,529,17,15
1230402,3190,359,13,8
1250001,3191,52,1,1
1250002,3192,70,3,6
1250003,3193,108,10,5
1250004,3194,84,5,3
1250005,3195,86,9,1
1250006,3196,141,10,6
1270001,3197,125,8,9
1270002,3198,14,3,1
1270003,3199,0,0,0
1270004,3200,4,1,0
1270005,3201,2,0,2
1270006,3202,19,4,0
1270007,3203,10,2,0
1290101,3204,165,9,0
1290201,3205,168,10,4
1290301,3206,95,3,1
1290303,3207,78,5,3
1290401,3208,103,7,1
1310001,3209,40,2,6
1310002,3210,18,1,2
1310003,3211,22,0,0
1310004,3212,7,0,1
1310005,3213,14,1,3
1310006,3214,6,0,0
1310007,3215,11,0,2
1310008,3216,62,4,6
1310009,3217,19,1,3
1330001,3218,593,20,13
1330002,3219,98,4,4
1330003,3220,284,10,13
1330004,3221,79,7,1
1330005,3222,148,3,6
1330006,3223,89,1,2
1330007,3224,514,18,16
1330008,3225,631,25,17
1330009,3226,205,5,5
1350101,3227,274,4,2
1350102,3228,146,3,5
1350103,3229,140,6,7
1350104,3230,215,15,8
1350108,3231,367,13,10
1350109,3232,42,1,4
1350110,3233,436,16,21
1350111,3234,171,7,8
1350201,3235,403,10,21
1350202,3236,482,20,25
1350203,3237,828,41,30
1350204,3238,573,25,20
1350205,3239,274,12,11
1350206,3240,235,6,8
1350207,3241,447,13,8
1350208,3242,528,24,15
1350209,3243,299,13,11
1350301,3244,231,15,17
1350302,3245,88,9,8
1350303,3246,142,8,10
1350304,3247,23,3,1
1350305,3248,31,2,3
1350306,3249,64,2,3
1350307,3250,141,7,17
1350308,3251,115,3,8
1350309,3252,136,4,8
1350310,3253,122,14,11
1350311,3254,115,1,8
1350312,3255,195,5,14
1350313,3256,116,4,4
1350314,3257,180,8,8
1350401,3258,54,4,6
1350402,3259,69,2,9
1350403,3260,54,5,5
1350404,3261,116,2,7
1350405,3262,25,1,3
1350406,3263,116,7,10
1350407,3264,204,7,13
1350408,3265,18,1,3
1350409,3266,74,3,5
1350412,3267,43,0,5
1370001,3268,88,2,15
1370002,3269,178,7,15
1370003,3270,181,11,12
1370004,3271,98,7,14
1391001,3272,94,7,9
1391002,3273,28,5,3
1391003,3274,353,20,35
1391004,3275,12,0,1
1391005,3276,549,36,48
1391006,3277,479,23,32
1391007,3278,325,20,20
1391008,3279,19,1,0
1391009,3280,529,30,30
1391010,3281,312,9,13
1391011,3282,383,24,29
1391012,3283,305,17,15
1391013,3284,254,10,12
1391014,3285,436,32,22
1391015,3286,477,22,19
1391016,3287,80,5,6
1391017,3288,389,17,20
1391018,3289,161,11,11
1391019,3290,391,27,33
1391020,3291,338,20,14
1391021,3292,285,13,11
1391022,3293,451,34,20
1391023,3294,0,0,0
1391024,3295,282,25,23
1391025,3296,423,29,30
1391026,3297,322,18,29
1391027,3298,505,18,31
1391028,3299,516,26,12
1391029,3300,105,6,2
1391030,3301,292,16,9
1391031,3302,132,3,0
1391032,3303,808,34,51
1391033,3304,403,16,27
1391034,3305,774,31,41
1391035,3306,162,8,13
1391036,3307,489,23,46
1391037,3308,324,6,23
1391038,3309,859,44,56
1391039,3310,540,22,31
1391040,3311,90,7,1
1391041,3312,591,17,29
1391042,3313,91,7,4
1391043,3314,685,25,33
1391044,3315,152,7,12
1391045,3316,38,3,3
1391046,3317,68,5,5
1391047,3318,83,3,6
1391048,3319,367,20,21
1391049,3320,139,5,7
1391050,3321,239,17,28
1391051,3322,316,24,21
1391052,3323,232,19,19
1391053,3324,315,19,24
1391054,3325,120,14,17
1391055,3326,610,29,27
1391056,3327,509,33,28
1391057,3328,473,32,30
1391058,3329,142,10,7
1391059,3330,125,1,3
1410001,3331,61,6,10
1410002,3332,53,4,7
1410003,3333,132,11,8
1410004,3334,68,9,7
1410005,3335,147,15,15
1410006,3336,239,17,9
1410007,3337,191,14,13
1410008,3338,276,20,17
1410009,3339,245,12,15
1410010,3340,113,6,9
1410011,3341,150,11,23
1410012,3342,189,8,11
1410013,3343,173,11,19
1410014,3344,260,19,24
1410015,3345,213,20,25
1410016,3346,137,9,10
1410017,3347,94,15,6
1410018,3348,290,21,23
1410019,3349,184,13,8
1410020,3350,77,8,8
1410021,3351,219,12,21
1410022,3352,135,9,11
1410023,3353,123,8,12
1410024,3354,277,21,31
1410025,3355,161,6,8
1410026,3356,121,7,12
1410027,3357,86,5,9
1410028,3358,12,0,2
1410029,3359,72,5,5
1410030,3360,3,0,0
1410031,3361,32,5,5
1410032,3362,88,4,10
1410033,3363,92,11,14
1410034,3364,10,1,0
1410035,3365,97,9,8
1410036,3366,35,5,5
1410037,3367,33,6,6
1410038,3368,52,1,5
1410039,3369,10,2,1
1410040,3370,14,0,1
1410041,3371,16,1,6
1410042,3372,23,3,1
1410043,3373,211,11,17
1410044,3374,165,7,11
1410045,3375,166,12,16
1410046,3376,57,3,4
1410047,3377,197,8,8
1410048,3378,47,6,8
1410049,3379,73,1,7
1410050,3380,69,2,4
1410051,3381,135,12,16
1410052,3382,85,6,0
1410053,3383,111,7,5
1410054,3384,78,3,3
1410055,3385,123,9,10
1410056,3386,120,6,5
1410057,3387,70,3,4
1410058,3388,102,7,7
1410059,3389,83,6,6
1410060,3390,201,15,12
1410061,3391,74,9,3
1410062,3392,15,3,3
1410063,3393,70,8,6
1410064,3394,59,3,5
1410065,3395,4,0,1
1410066,3396,40,3,7
1410067,3397,57,5,3
1410068,3398,18,4,3
1410069,3399,91,9,19
1410070,3400,75,9,10
1410071,3401,40,5,8
1410072,3402,38,6,4
1410073,3403,32,4,6
1410074,3404,28,2,3
1410075,3405,61,4,5
1410076,3406,30,2,2
1410077,3407,62,4,3
1410078,3408,33,4,3
1410079,3409,9,2,0
1410080,3410,15,2,3
1410081,3411,12,0,1
1410082,3412,23,2,5
1410083,3413,10,2,3
1410084,3414,37,5,3
1410085,3415,17,5,2
1410086,3416,0,0,0
1410087,3417,0,0,0
1410088,3418,8,0,0
1410089,3419,82,7,9
1410090,3420,111,5,10
1410091,3421,44,4,4
1410092,3422,189,8,9
1410093,3423,65,7,5
1410094,3424,128,9,14
1410095,3425,135,15,6
1410096,3426,208,9,20
1410097,3427,115,7,8
1410098,3428,130,6,16
1410099,3429,50,7,2
1410100,3430,172,11,15
1410101,3431,144,11,8
1410102,3432,113,5,8
1410103,3433,103,7,14
